Serial No,Timestamp,Temperature,Humidity,latitude,longitude
1393007049,2014/02/21 23:54:09,23.6,61,13.00361,77.61818
1393007357,2014/02/21 23:59:17,23.5,62,13.00361,77.61818
1393007665,2014/02/22 00:04:25,23.5,62,13.00361,77.61818
1393007972,2014/02/22 00:09:32,23.4,62,13.00361,77.61818
1393008280,2014/02/22 00:14:40,23.4,63,13.00361,77.61818
1393008588,2014/02/22 00:19:48,23.4,63,13.00361,77.61818
1393008895,2014/02/22 00:24:55,23.3,63,13.00361,77.61818
1393009203,2014/02/22 00:30:03,23.3,63,13.00361,77.61818
1393009510,2014/02/22 00:35:10,23.3,64,13.00361,77.61818
1393009767,2014/02/22 00:39:27,23.2,64,13.00361,77.61818
1393010074,2014/02/22 00:44:34,23.2,64,13.00361,77.61818
1393010382,2014/02/22 00:49:42,23.1,65,13.00361,77.61818
1393010690,2014/02/22 00:54:50,23.1,65,13.00361,77.61818
1393010997,2014/02/22 00:59:57,23,65,13.00361,77.61818
1393011304,2014/02/22 01:05:04,23,66,13.00361,77.61818
1393011611,2014/02/22 01:10:11,23,66,13.00361,77.61818
1393011920,2014/02/22 01:15:20,22.9,67,13.00361,77.61818
1393012228,2014/02/22 01:20:28,22.9,67,13.00361,77.61818
1393012535,2014/02/22 01:25:35,22.8,67,13.00361,77.61818
1393012843,2014/02/22 01:30:43,22.8,67,13.00361,77.61818
1393013151,2014/02/22 01:35:51,22.8,68,13.00361,77.61818
1393013458,2014/02/22 01:40:58,22.7,68,13.00361,77.61818
1393013765,2014/02/22 01:46:05,22.7,68,13.00361,77.61818
1393014021,2014/02/22 01:50:21,22.7,68,13.00361,77.61818
1393014329,2014/02/22 01:55:29,22.7,68,13.00361,77.61818
1393014636,2014/02/22 02:00:36,22.7,69,13.00361,77.61818
1393014945,2014/02/22 02:05:45,22.7,69,13.00361,77.61818
1393015253,2014/02/22 02:10:53,22.7,69,13.00361,77.61818
1393015559,2014/02/22 02:15:59,22.7,69,13.00361,77.61818
1393015867,2014/02/22 02:21:07,22.6,69,13.00361,77.61818
1393016174,2014/02/22 02:26:14,22.6,70,13.00361,77.61818
1393016482,2014/02/22 02:31:22,22.5,70,13.00361,77.61818
1393016790,2014/02/22 02:36:30,22.5,70,13.00361,77.61818
1393017097,2014/02/22 02:41:37,22.4,71,13.00361,77.61818
1393017405,2014/02/22 02:46:45,22.4,71,13.00361,77.61818
1393017661,2014/02/22 02:51:01,22.4,71,13.00361,77.61818
1393017969,2014/02/22 02:56:09,22.3,71,13.00361,77.61818
1393018276,2014/02/22 03:01:16,22.3,72,13.00361,77.61818
1393018584,2014/02/22 03:06:24,22.3,72,13.00361,77.61818
1393018892,2014/02/22 03:11:32,22.2,72,13.00361,77.61818
1393019198,2014/02/22 03:16:38,22.2,72,13.00361,77.61818
1393019506,2014/02/22 03:21:46,22.2,73,13.00361,77.61818
1393019815,2014/02/22 03:26:55,22.1,73,13.00361,77.61818
1393020122,2014/02/22 03:32:02,22.1,73,13.00361,77.61818
1393020430,2014/02/22 03:37:10,22.1,73,13.00361,77.61818
1393020737,2014/02/22 03:42:17,22.1,73,13.00361,77.61818
1393021045,2014/02/22 03:47:25,22,73,13.00361,77.61818
1393021353,2014/02/22 03:52:33,22,73,13.00361,77.61818
1393021609,2014/02/22 03:56:49,22,74,13.00361,77.61818
1393021917,2014/02/22 04:01:57,21.9,74,13.00361,77.61818
1393022224,2014/02/22 04:07:04,21.9,74,13.00361,77.61818
1393022532,2014/02/22 04:12:12,21.9,74,13.00361,77.61818
1393022838,2014/02/22 04:17:18,21.8,74,13.00361,77.61818
1393023146,2014/02/22 04:22:26,21.8,74,13.00361,77.61818
1393023455,2014/02/22 04:27:35,21.8,74,13.00361,77.61818
1393023762,2014/02/22 04:32:42,21.7,75,13.00361,77.61818
1393024070,2014/02/22 04:37:50,21.7,75,13.00361,77.61818
1393024378,2014/02/22 04:42:58,21.6,75,13.00361,77.61818
1393024685,2014/02/22 04:48:05,21.6,75,13.00361,77.61818
1393024993,2014/02/22 04:53:13,21.6,75,13.00361,77.61818
1393025248,2014/02/22 04:57:28,21.5,75,13.00361,77.61818
1393025556,2014/02/22 05:02:36,21.5,75,13.00361,77.61818
1393025863,2014/02/22 05:07:43,21.4,76,13.00361,77.61818
1393026171,2014/02/22 05:12:51,21.4,76,13.00361,77.61818
1393026479,2014/02/22 05:17:59,21.4,76,13.00361,77.61818
1393026786,2014/02/22 05:23:06,21.3,76,13.00361,77.61818
1393027095,2014/02/22 05:28:15,21.2,76,13.00361,77.61818
1393027402,2014/02/22 05:33:22,21.2,77,13.00361,77.61818
1393027709,2014/02/22 05:38:29,21.2,77,13.00361,77.61818
1393028017,2014/02/22 05:43:37,21.1,77,13.00361,77.61818
1393028324,2014/02/22 05:48:44,21.1,77,13.00361,77.61818
